ID,Title,Difficulty,Category,Description,Input,Output,Example Input,Example Output
1,Two Sum,Easy,Array,Return indices of the two numbers such that they add up to a specific target.,"List[int] nums, int target",List[int] indices,"nums = [2,7,11,15], target = 9","[0,1]"
2,Add Two Numbers,Medium,Linked List,Add two non‑empty linked lists representing two non‑negative integers (digits stored in reverse order).,"ListNode l1, ListNode l2",ListNode sum,"l1 = 2→4→3, l2 = 5→6→4",7→0→8
3,Longest Substring Without Repeating Characters,Medium,String,Find the length of the longest substring without repeating characters.,str s,int length,"s = ""abcabcbb""",3
4,Median of Two Sorted Arrays,Hard,Array,Return the median of two sorted arrays with overall run time O(log(m+n)).,"List[int] nums1, List[int] nums2",float median,"nums1=[1,3], nums2=[2]",2.0
5,Longest Palindromic Substring,Medium,String,Find the longest palindromic substring in a given string.,str s,str substring,"s=""babad""","""bab"""
6,Zigzag Conversion,Medium,String,Write the string in a zigzag pattern on a given number of rows and read line by line.,"str s, int numRows",str converted,"s=""PAYPALISHIRING"", numRows=3","""PAHNAPLSIIGYIR"""
7,Reverse Integer,Easy,Math,Reverse digits of a 32‑bit signed integer; return 0 on overflow.,int x,int reversed,x=123,321
8,String to Integer (atoi),Medium,String,Convert a string to a 32‑bit signed integer similar to C/C++'s atoi.,str s,int value,"s=""42""",42
9,Palindrome Number,Easy,Math,Determine whether an integer is a palindrome without extra space.,int x,bool isPalindrome,x=121,true
10,Container With Most Water,Medium,Two Pointers,Find two lines that together with the x‑axis form a container holding the most water.,List[int] height,int maxArea,"height=[1,8,6,2,5,4,8,3,7]",49
11,Integer to Roman,Medium,Math,Convert an integer to a Roman numeral.,int num,str roman,num=1994,"""MCMXCIV"""
12,Roman to Integer,Easy,Math,Convert a Roman numeral to an integer.,str s,int num,"s=""LVIII""",58
13,Longest Common Prefix,Easy,String,Find the longest common prefix string among an array of strings.,List[str] strs,str prefix,"[""flower"",""flow"",""flight""]","""fl"""
14,3Sum,Medium,Array,Return all unique triplets that sum to zero.,List[int] nums,List[List[int]] triplets,"nums=[-1,0,1,2,-1,-4]","[[-1,-1,2],[-1,0,1]]"
15,3Sum Closest,Medium,Array,Find a triplet whose sum is closest to the target.,"List[int] nums, int target",int closest,"nums=[-1,2,1,-4], target=1",2
16,Letter Combinations of a Phone Number,Medium,Backtracking,Return all letter combinations that the digits 2‑9 could represent.,str digits,List[str] combos,"digits=""23""","[""ad"",""ae"",""af"",""bd"",""be"",""bf"",""cd"",""ce"",""cf""]"
17,4Sum,Medium,Array,Return all unique quadruplets that sum to the target.,"List[int] nums, int target",List[List[int]] quadruplets,"nums=[1,0,-1,0,-2,2], target=0","[[-2,-1,1,2],[-2,0,0,2],[-1,0,0,1]]"
18,Remove Nth Node From End of List,Medium,Linked List,Remove the nth node from the end of a singly linked list.,"ListNode head, int n",ListNode head,"head=1→2→3→4→5, n=2",1→2→3→5
19,Valid Parentheses,Easy,Stack,Determine if the input string's parentheses are valid.,str s,bool isValid,"s=""()[]{}""",true
20,Merge Two Sorted Lists,Easy,Linked List,Merge two sorted linked lists and return it as a new sorted list.,"ListNode l1, ListNode l2",ListNode merged,"l1=1→2→4, l2=1→3→4",1→1→2→3→4→4
21,Generate Parentheses,Medium,Backtracking,Generate all combinations of well‑formed parentheses for n pairs.,int n,List[str] combinations,n=3,"[""((()))"",""(()())"",""(())()"",""()(())"",""()()()""]"
22,Merge k Sorted Lists,Hard,Linked List,Merge k sorted linked lists and return one sorted list.,List[ListNode] lists,ListNode head,"[1→4→5, 1→3→4, 2→6]",1→1→2→3→4→4→5→6
23,Swap Nodes in Pairs,Medium,Linked List,Swap every two adjacent nodes of a linked list.,ListNode head,ListNode head,1→2→3→4,2→1→4→3
24,Reverse Nodes in k‑Group,Hard,Linked List,Reverse nodes of a linked list in groups of size k.,"ListNode head, int k",ListNode head,"1→2→3→4→5, k=2",2→1→4→3→5
25,Remove Duplicates from Sorted Array,Easy,Array,Remove duplicates in‑place from a sorted array and return new length.,List[int] nums,int length,"nums=[1,1,2]","2 (nums=[1,2, …])"
26,Remove Element,Easy,Array,Remove all instances of value in‑place and return new length.,"List[int] nums, int val",int length,"nums=[3,2,2,3], val=3","2 (nums=[2,2,…])"
27,Implement strStr(),Easy,String,Return the index of the first occurrence of needle in haystack or -1.,"str haystack, str needle",int index,"haystack=""hello"", needle=""ll""",2
28,Divide Two Integers,Medium,Math,"Divide two integers without using multiplication, division, or mod, handling overflow.","int dividend, int divisor",int quotient,"10,3",3
29,Substring with Concatenation of All Words,Hard,String,Find starting indices where substring is concatenation of each word exactly once.,"str s, List[str] words",List[int] indices,"s=""barfoothefoobarman"", words=[""foo"",""bar""]","[0,9]"
30,Next Permutation,Medium,Array,Rearrange numbers into the lexicographically next greater permutation.,List[int] nums,None (in‑place),"nums=[1,2,3]","[1,3,2]"
